Scanning I2C bus for devices...
I2C device found at address 0x1C !
I2C device found at address 0x39 !
I2C device found at address 0x44 !
I2C device found at address 0x6A !
I2C device found at address 0x77 !
done

LSM6DS33 initialized successfully!
BMP280 initialized successfully!
NeoPixel test complete!
Flash filesystem initialized and ready.
Time [s], Altitude [m], Accel X [m/s^2], Accel Y [m/s^2], Accel Z [m/s^2], Jerk X [m/s^3], Jerk Y [m/s^3], Jerk Z [m/s^3]
1.000, 287.081, 0.943, 0.410, 10.137, -0.010, 0.005, 0.004,
2.000, 287.060, 0.956, 0.390, 10.126, 0.013, -0.020, -0.011,
3.000, 287.262, 0.812, 0.418, 10.129, -0.144, 0.028, 0.002,
4.000, 286.547, 0.790, 0.426, 10.138, -0.023, 0.008, 0.010,
5.000, 286.704, 0.738, 0.471, 10.116, -0.051, 0.045, -0.023,
6.000, 286.816, 0.781, 0.412, 10.132, 0.043, -0.060, 0.017,
7.000, 286.822, 0.765, 0.421, 10.153, -0.017, 0.010, 0.020,
8.000, 286.886, 0.766, 0.424, 10.128, 0.001, 0.002, -0.025,
9.000, 286.922, 0.756, 0.426, 10.125, -0.010, 0.002, -0.002,
10.000, 286.774, 0.729, 0.433, 10.137, -0.028, 0.007, 0.012,
11.000, 286.746, 0.724, 0.421, 10.119, -0.005, -0.012, -0.018,
12.000, 286.749, 0.738, 0.441, 10.146, 0.014, 0.020, 0.026,
13.000, 286.886, 0.744, 0.403, 10.160, 0.006, -0.038, 0.014,
14.000, 286.858, 0.694, 0.446, 10.141, -0.050, 0.043, -0.019,
15.000, 286.987, 0.707, 0.421, 10.134, 0.013, -0.025, -0.007,
16.000, 286.833, 0.695, 0.409, 10.135, -0.012, -0.012, 0.001,
17.000, 286.735, 0.707, 0.426, 10.141, 0.012, 0.017, 0.006,
18.000, 286.782, 0.688, 0.418, 10.141, -0.019, -0.008, 0.000,
19.000, 287.009, 0.695, 0.439, 10.119, 0.007, 0.022, -0.022,
20.000, 286.922, 0.690, 0.434, 10.131, -0.005, -0.005, 0.012,
21.000, 286.813, 0.682, 0.447, 10.132, -0.008, 0.013, 0.001,
22.000, 286.791, 0.674, 0.438, 10.144, -0.008, -0.010, 0.012,
23.000, 286.841, 0.660, 0.424, 10.144, -0.013, -0.014, 0.000,
24.000, 287.065, 0.659, 0.445, 10.137, -0.001, 0.022, -0.007,
25.000, 286.749, 0.646, 0.421, 10.129, -0.013, -0.024, -0.008,
26.000, 287.051, 0.658, 0.416, 10.124, 0.012, -0.005, -0.005,
27.000, 286.785, 0.634, 0.409, 10.132, -0.024, -0.007, 0.008,
28.000, 286.561, 0.621, 0.432, 10.120, -0.013, 0.023, -0.012,
29.000, 286.561, 0.636, 0.425, 10.131, 0.016, -0.007, 0.011,
30.000, 286.664, 0.638, 0.433, 10.137, 0.001, 0.008, 0.006,
31.000, 286.639, 0.634, 0.413, 10.160, -0.004, -0.020, 0.023,
32.000, 286.539, 0.615, 0.416, 10.142, -0.019, 0.004, -0.018,
33.000, 286.749, 0.641, 0.415, 10.128, 0.026, -0.001, -0.014,
34.000, 286.687, 0.617, 0.456, 10.144, -0.024, 0.041, 0.017,
35.000, 286.749, 0.628, 0.468, 10.111, 0.011, 0.012, -0.033,
36.000, 286.939, 0.623, 0.433, 10.162, -0.005, -0.035, 0.051,
37.000, 286.807, 0.650, 0.469, 10.122, 0.026, 0.036, -0.041,
38.000, 286.897, 0.601, 0.430, 10.102, -0.049, -0.039, -0.019,
39.000, 286.843, 0.595, 0.430, 10.141, -0.006, 0.000, 0.038,
40.000, 286.401, 0.596, 0.434, 10.144, 0.001, 0.005, 0.004,
41.000, 286.857, 0.598, 0.427, 10.142, 0.002, -0.007, -0.002,
42.000, 286.795, 0.598, 0.430, 10.154, 0.000, 0.002, 0.012,
43.000, 286.936, 0.592, 0.431, 10.134, -0.006, 0.001, -0.020,
44.000, 286.591, 0.574, 0.430, 10.154, -0.018, -0.001, 0.020,
45.000, 286.599, 0.586, 0.435, 10.143, 0.012, 0.006, -0.011,
46.000, 286.656, 0.567, 0.415, 10.156, -0.019, -0.020, 0.013,
47.000, 286.535, 0.581, 0.419, 10.134, 0.014, 0.004, -0.023,
48.000, 286.284, 0.567, 0.414, 10.148, -0.014, -0.005, 0.014,
49.000, 286.737, 0.571, 0.420, 10.155, 0.004, 0.006, 0.007,
