Time [s], Internal Clock [ms], Altitude [m], Accel X [m/s^2], Accel Y [m/s^2], Accel Z [m/s^2], Jerk X [m/s^3], Jerk Y [m/s^3], Jerk Z [m/s^3]
1.000, 1000, 378.679, 0.354, -0.205, 10.137, 0.006, 0.006, -0.010
2.000, 2000, 378.551, 0.334, -0.208, 10.174, -0.020, -0.002, 0.037
3.000, 3000, 378.553, 0.334, -0.220, 10.156, 0.001, -0.013, -0.018
4.000, 4000, 379.114, 0.325, -0.206, 10.188, -0.009, 0.014, 0.032
5.000, 5000, 379.198, 0.323, -0.232, 10.194, -0.002, -0.026, 0.006
6.000, 6000, 379.824, -0.769, -1.859, 17.264, -1.087, -1.621, 7.042
7.000, 7000, 380.249, -2.965, -3.939, 5.910, -2.187, -2.072, -11.309
8.000, 8000, 379.695, 1.424, 3.525, 11.963, 4.372, 7.435, 6.029
9.000, 9000, 379.766, 0.245, 5.017, 8.757, -1.175, 1.485, -3.193
10.000, 10000, 379.951, 0.166, 5.394, 8.512, -0.078, 0.376, -0.244
11.000, 11000, 379.879, 0.196, 5.267, 8.640, 0.029, -0.127, 0.128
12.000, 12000, 379.806, 0.047, 3.887, 8.898, -0.148, -1.374, 0.257
13.000, 13000, 379.949, 0.435, 2.449, 8.820, 0.386, -1.432, -0.078
14.000, 14000, 379.977, -0.453, 1.193, 9.633, -0.884, -1.251, 0.810
15.000, 15000, 379.734, 1.234, 0.955, 10.223, 1.680, -0.237, 0.588
16.000, 16000, 379.295, 0.500, 2.795, 9.776, -0.732, 1.833, -0.445
17.000, 17000, 379.365, 0.518, 4.211, 15.524, 0.018, 1.410, 5.725
18.000, 18000, 379.980, -3.645, -5.942, 0.029, -4.146, -10.112, -15.434
19.000, 19000, 379.019, 1.275, -0.363, 18.168, 4.901, 5.557, 18.067
20.000, 20000, 378.877, 0.506, 1.133, 6.333, -0.766, 1.490, -11.788
21.000, 21000, 379.396, -1.426, -4.398, 6.447, -1.925, -5.509, 0.114
22.000, 22000, 378.907, 0.587, 3.135, 9.846, 2.007, 7.511, 3.388
23.000, 23000, 378.522, -0.838, 1.226, 10.076, -1.419, -1.901, 0.229
24.000, 24000, 379.529, 7.430, 0.678, 4.907, 8.235, -0.546, -5.149
25.000, 25000, 380.254, -0.543, 1.691, 10.009, -7.941, 1.009, 5.082
26.000, 26000, 380.575, -1.351, 0.727, 10.303, -0.806, -0.960, 0.293
27.000, 27000, 380.326, 1.442, -2.383, 9.748, 2.782, -3.098, -0.553
28.000, 28000, 380.069, 1.298, 1.133, 14.411, -0.144, 3.502, 4.644
29.000, 29000, 380.375, -0.022, -0.961, 10.315, -1.314, -2.085, -4.080
30.000, 30000, 380.353, 0.067, -0.977, 10.324, 0.089, -0.016, 0.010
31.000, 31000, 379.927, -1.029, 4.070, 16.132, -1.092, 5.027, 5.784
32.000, 32000, 379.649, -4.999, 2.319, 13.653, -3.958, -1.746, -2.471
33.000, 33000, 379.815, -4.473, 0.476, 1.373, 0.524, -1.836, -12.231
34.000, 34000, 379.210, -5.048, 3.800, 5.988, -0.573, 3.310, 4.596
35.000, 35000, 378.925, -2.515, -1.492, 12.102, 2.522, -5.271, 6.089
36.000, 36000, 378.498, 0.347, -1.338, 11.521, 2.851, 0.154, -0.579
37.000, 37000, 378.528, 0.036, 2.088, 9.942, -0.309, 3.412, -1.572
38.000, 38000, 378.223, 0.039, 2.106, 9.934, 0.003, 0.018, -0.008
39.000, 39000, 378.100, 0.041, 2.109, 9.937, 0.001, 0.003, 0.003
